lr,weight_decay,epochs,batch_size,lstm_hidden_sizes,mlp_layer_sizes,dropout_rate,RMSE_mean,MAPE_mean,R2_mean,PCC_mean
0.001,0,100,64,"[3, 3, 3]","[3, 3]",0,0.23995496,0.09323605336248875,0.0,
0.001,0,100,64,"[3, 3, 3]","[3, 3]",0.1,0.41849816,0.1658704481087625,0.0,
0.001,0,100,64,"[3, 3, 3]","[3, 3]",0.2,0.3200097,0.1221225131303072,0.003059283481345566,0.5531078991793161
0.001,0,100,64,"[3, 3, 3]",[3],0,0.7080681,0.3021120326593518,1.9306376302908466,13.89473868156881
0.001,0,100,64,"[3, 3, 3]",[3],0.1,0.11174898,0.038839655462652445,76.20873793931979,87.29761619845058
0.001,0,100,64,"[3, 3, 3]",[3],0.2,0.13309623,0.050146476132795215,61.9123252651246,78.68438553177155
0.001,0,100,64,"[3, 3, 3]",[6],0,0.15119568,0.053430814296007156,50.458383983544564,71.03406505581991
0.001,0,100,64,"[3, 3, 3]",[6],0.1,0.085168995,0.028281466802582145,83.3877163429314,91.31687486052695
0.001,0,100,64,"[3, 3, 3]",[6],0.2,0.1787041,0.06753201014362276,13.725969780001126,37.0485759240502
0.001,0,100,64,"[6, 3]","[6, 3]",0,0.20886876,0.0792901439126581,2.626076260501527,-16.205172817657722
0.001,0,100,64,"[6, 3]","[6, 3]",0.1,0.12258485,0.04618044476956129,82.29446274363339,90.71629552821993
0.001,0,100,64,"[6, 3]","[6, 3]",0.2,0.11492419,0.04018392355646938,78.75387238082727,88.74337855909437
0.001,0,100,64,"[6, 3]","[3, 6]",0,0.0884762,0.02929925685748458,81.90844356164426,90.50328367614308
0.001,0,100,64,"[6, 3]","[3, 6]",0.1,0.106557176,0.03690645389724523,83.0221201831187,91.11647501035073
0.001,0,100,64,"[6, 3]","[3, 6]",0.2,0.20790836,0.08216749411076307,52.222312628274366,72.26500718070564
0.001,0,100,64,"[6, 3]","[3, 3]",0,0.37584856,0.14569859486073256,0.0,
0.001,0,100,64,"[6, 3]","[3, 3]",0.1,0.10119843,0.03482307947706431,80.69751795617704,89.83179724138722
0.001,0,100,64,"[6, 3]","[3, 3]",0.2,0.65399,0.2771760104224086,0.0,
0.001,0,100,64,"[6, 3]",[3],0,0.12187149,0.041730375960469246,77.785469799184,88.19607122722873
0.001,0,100,64,"[6, 3]",[3],0.1,0.19139755,0.0724273209925741,0.05423168708817591,2.3287697844178568
0.001,0,100,64,"[6, 3]",[3],0.2,0.11828361,0.03970666439272463,76.52522099264982,87.47869511638237
0.001,0,100,64,"[6, 3]",[6],0,0.17232664,0.06432863301597536,17.75911473750351,42.141564680851026
0.001,0,100,64,"[6, 3]",[6],0.1,0.097305946,0.034889118978753686,77.6702899779528,88.13074944532855
0.001,0,100,64,"[6, 3]",[6],0.2,0.11936596,0.04206240992061794,71.07379125427656,84.3052734141089
0.001,0,100,64,"[3, 6]","[6, 3]",0,0.18990354,0.07235820521600544,0.6529644160668414,8.080621362660432
0.001,0,100,64,"[3, 6]","[6, 3]",0.1,0.11271781,0.04248505865689367,82.51558221412283,90.83808794449759
0.001,0,100,64,"[3, 6]","[6, 3]",0.2,0.26520202,0.1022257492877543,0.12618732435583918,-3.552285522812589
0.001,0,100,64,"[3, 6]","[3, 6]",0,0.13439411,0.04307536582928151,75.2690462651003,86.75773525461594
0.001,0,100,64,"[3, 6]","[3, 6]",0.1,0.124056086,0.044469075510278344,71.83716957839378,84.75681068704378
0.001,0,100,64,"[3, 6]","[3, 6]",0.2,0.11173598,0.04176364163868129,81.60960700734914,90.33803573653189
0.001,0,100,64,"[3, 6]","[3, 3]",0,0.19835658,0.07754942635074258,0.0,
0.001,0,100,64,"[3, 6]","[3, 3]",0.1,0.2011858,0.07840446196496487,0.19215515292782603,4.383550534986748
0.001,0,100,64,"[3, 6]","[3, 3]",0.2,0.12476825,0.04720250435639173,77.13501737995479,87.82654347061302
0.001,0,100,64,"[3, 6]",[3],0,0.32468238,0.12385118752717972,0.0,
0.001,0,100,64,"[3, 6]",[3],0.1,0.16682082,0.06453724345192313,32.58298175082848,57.08150466729875
0.001,0,100,64,"[3, 6]",[3],0.2,0.18883392,0.07012464920990169,0.0,
0.001,0,100,64,"[3, 6]",[6],0,0.102006085,0.036197283770889044,72.73221243207702,85.28318265172625
0.001,0,100,64,"[3, 6]",[6],0.1,0.103367135,0.0367304339306429,73.68372073027936,85.83922222986375
0.001,0,100,64,"[3, 6]",[6],0.2,0.11137119,0.04066699184477329,73.1866487925849,85.54919566692891
0.001,0,100,64,[3],"[6, 3]",0,0.090478145,0.028487775125540793,78.69848652715062,88.71216744457922
0.001,0,100,64,[3],"[6, 3]",0.1,0.10767895,0.038310527452267706,79.44567009022865,89.13230059312316
0.001,0,100,64,[3],"[6, 3]",0.2,0.15933155,0.06379333208315074,68.46975443292577,82.74645275353244
0.001,0,100,64,[3],"[3, 6]",0,0.20789799,0.08033090271055698,15.730358270473296,-39.66151569276355
0.001,0,100,64,[3],"[3, 6]",0.1,0.16393556,0.061623769579455256,81.39180069680457,90.21740447208873
0.001,0,100,64,[3],"[3, 6]",0.2,0.18830019,0.07141297683119774,6.351256711264782,25.201699766612528
0.001,0,100,64,[3],"[3, 3]",0,0.10861454,0.03620731586124748,83.13679495689247,91.1793808691924
0.001,0,100,64,[3],"[3, 3]",0.1,0.5712922,0.23868121206760406,0.0,
0.001,0,100,64,[3],"[3, 3]",0.2,0.13618952,0.0483517098473385,78.30933778127556,88.49256340578883
0.001,0,100,64,[3],[3],0,0.15644725,0.05826518754474819,31.324334943294463,55.968147140399836
0.001,0,100,64,[3],[3],0.1,0.20677699,0.0811331789009273,0.0,
0.001,0,100,64,[3],[3],0.2,0.28312165,0.10375234996899962,29.86773752156553,-54.6513838082491
